code,pctl,evaluationperiod_pctl,speed,evaluationperiod_speed,goal,indicatorcode,indicatorname,value,orig_value,diff,more_is_better,target_value
AGO,20-40,2015-2022,0.514412286,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),48.5,42,6.5,1,100
BDI,20-40,2015-2022,0.419130044,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),10.3,7.9,2.4,1,100
BFA,0-20,2015-2022,0.392510512,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),19.5,16.2,3.3,1,100
CAF,20-40,2015-2022,0.407230536,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),15.7,12.7,3,1,100
CIV,20-40,2015-2022,0.675265644,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),70.4,62.6,7.8,1,100
COD,20-40,2015-2022,0.562382446,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),21.5,16.6,4.9,1,100
COG,20-40,2015-2022,0.495943809,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),50.6,44.3,6.3,1,100
DJI,20-40,2015-2022,0.487394788,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),65,59.1,5.9,1,100
DOM,0-20,2015-2022,-0.537032016,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),98.1,98.6,-0.5,1,100
ECU,0-20,2015-2020,0.213333333,2015-2020,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),98.9,98.8,0.1,1,100
FJI,0-20,2015-2022,-0.308459302,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),92,93.2,-1.2,1,100
GNQ,0-20,2015-2022,0.077744936,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),67,66.1,0.9,1,100
GRD,0-20,2015-2022,0.74499175,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),94.2,91.4,2.8,1,100
HTI,20-40,2015-2022,0.673714329,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),49.3,40.8,8.5,1,100
IDN,0-20,2015-2020,-0.45503482,2015-2020,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),97,97.5,-0.5,1,100
LBY,0-20,2015-2022,-0.355668891,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),70,73.8,-3.8,1,100
MOZ,20-40,2015-2022,0.853349824,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),33.2,24,9.2,1,100
MWI,20-40,2015-2022,0.470014081,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),14,10.8,3.2,1,100
NAM,0-20,2015-2022,0.363116319,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),56.2,51.6,4.6,1,100
NER,0-20,2015-2022,0.342624928,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),19.5,16.6,2.9,1,100
NGA,20-40,2015-2022,0.638354452,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),60.5,52.5,8,1,100
NIC,0-20,2015-2022,0.46340875,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),86.5,83.2,3.3,1,100
PER,20-40,2015-2022,0.868972169,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),96.2,93.9,2.3,1,100
PNG,0-20,2015-2022,0.069397111,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),19,18.4,0.6,1,100
SEN,20-40,2015-2022,0.624163588,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),67.9,60.5,7.4,1,100
SOM,0-20,2015-2022,-0.180533752,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),48.9,51.2,-2.3,1,100
SYR,0-20,2015-2022,-0.188820577,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),89,90,-1,1,100
TCD,20-40,2015-2022,0.676696016,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),11.7,7.7,4,1,100
WSM,0-20,2015-2022,0.101360544,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),98.3,98.2,0.1,1,100
YEM,20-40,2015-2022,0.805368964,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),76,67.4,8.6,1,100
ZAF,0-20,2015-2022,0.177745965,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),86.5,85.3,1.2,1,100
CMR,40-60,2015-2022,1.056728468,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),71,58.6,12.4,1,100
ERI,40-60,2015-2022,0.755408014,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),55.4,45.8,9.6,1,100
GIN,40-60,2015-2022,1.035107254,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),47.7,34.9,12.8,1,100
GMB,40-60,2015-2022,0.872690638,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),65.4,54.7,10.7,1,100
KIR,40-60,2015-2022,0.982797474,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),94.4,90.6,3.8,1,100
MDG,40-60,2015-2022,1.120230635,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),36.1,23.8,12.3,1,100
MRT,40-60,2015-2022,0.755470396,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),49,39.5,9.5,1,100
PAN,40-60,2015-2022,0.974145335,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),95,91.6,3.4,1,100
SLE,40-60,2015-2022,0.973107698,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),29.4,19.7,9.7,1,100
SSD,40-60,2015-2022,0.74702595,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),8.4,4.8,3.6,1,100
STP,40-60,2015-2022,1.023230259,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),78,67.3,10.7,1,100
TGO,40-60,2015-2022,0.985548984,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),57.2,44.7,12.5,1,100
AFG,60-80,2015-2022,1.541529626,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),85.3,71.5,13.8,1,100
BWA,60-80,2015-2022,1.244308063,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),75.9,62.1,13.8,1,100
FSM,60-80,2015-2022,1.400369258,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),85.3,73,12.3,1,100
GAB,60-80,2015-2022,1.305120875,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),93.5,87.3,6.2,1,100
GHA,60-80,2015-2022,1.275470208,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),85.1,74,11.1,1,100
GNB,60-80,2015-2022,1.620266004,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),37.4,20.1,17.3,1,100
GUY,60-80,2015-2022,1.050431392,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),93,88,5,1,100
HND,60-80,2015-2022,1.104065875,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),94.4,90,4.4,1,100
LBR,60-80,2015-2022,1.730872033,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),31.8,15.2,16.6,1,100
LSO,60-80,2015-2022,1.483280183,2015-2022,7,EG.ELC.ACCS.ZS,Access to electricity (% of population),50,31.8,18.2,1,100
